removed,r_precision,ndcg,clicks,delta_rprec,title_only,experiment,scenario,hybrid,title,routed
(full union),0.3549560012870007,0.624495362608758,0.2261072261072261,0.0,0.2845197962871104,leave_one_out,,,,
item_cf,0.33859829986768974,0.6261392213588142,0.27505827505827507,-0.016357701419310977,0.12078395986127,leave_one_out,,,,
als,0.3584246805998499,0.6485322569606118,0.2331002331002331,0.0034686793128491655,0.337761819160444,leave_one_out,,,,
track2vec,0.3610203148801827,0.6499397562134036,0.20745920745920746,0.006064313593181991,0.2911576590316567,leave_one_out,,,,
title,0.3468160668298808,0.6302352818416604,0.22843822843822845,-0.008139934457119913,0.19238706704605232,leave_one_out,,,,
popularity,0.3559404014117407,0.6468544919216749,0.21678321678321677,0.0009844001247399925,0.2630488582758532,leave_one_out,,,,
,,,,,,routing,title_only,0.2845197962871104,0.4611794002972559,0.46104051140836705
,,,,,,routing,title_1,0.45891244359662087,0.4683697382669543,0.4907561757221256
,,,,,,routing,title_5,0.37755816764198324,0.35476995884026635,0.37616569940270345
,,,,,,routing,title_10,0.2981516775063601,0.2534441949519348,0.2981516775063601
,,,,,,routing,title_25,0.3137395032241004,0.28347132748125964,0.3137395032241004
,,,,,,routing,OVERALL,0.3549560012870007,0.32001941536799655,0.379078609562931
