r_precision,ndcg,clicks,model,n_playlists
0.16646170382859238,0.4393246959517721,0.18226600985221675,popularity,2000
0.33145321402003947,0.5969241621552659,0.2413793103448276,item_cf,2000
0.32681692558583425,0.5888086205251987,0.3251231527093596,als,2000
0.17840192051225967,0.39730217907981835,2.5270935960591134,track2vec,2000
0.32172854477986995,0.5903671793889852,0.21674876847290642,title,2000
0.321104414180398,0.5484895859028701,0.7315270935960592,taste_engine,2000
0.3511830123337227,0.638954179604445,0.12315270935960591,hybrid,2000
0.17414991460331583,0.44657123155705614,0.1507177033492823,popularity,5000
0.3172395209765144,0.5753903680728767,0.45933014354066987,item_cf,5000
0.3211323192395537,0.5800739193485787,0.17942583732057416,als,5000
0.17983564441579306,0.3801671730546439,2.65311004784689,track2vec,5000
0.3160793417019811,0.5862078651945739,0.23444976076555024,title,5000
0.3068985329379941,0.5247752918009757,0.9856459330143541,taste_engine,5000
0.32793238906173455,0.618960693298995,0.1722488038277512,hybrid,5000
0.16597848808258756,0.43964130315059785,0.19158878504672897,popularity,10000
0.3355749578124545,0.5873314307463224,0.530373831775701,item_cf,10000
0.3329105537837387,0.5899202762390597,0.4929906542056075,als,10000
0.13827323471069022,0.3357327119517936,4.52803738317757,track2vec,10000
0.3164834286145572,0.5867584948447729,0.26401869158878505,title,10000
0.3233388713776563,0.539310789807746,1.147196261682243,taste_engine,10000
0.34231880363919037,0.6258593782137618,0.2266355140186916,hybrid,10000
0.16553075374938356,0.44005224238425233,0.4074074074074074,popularity,20000
0.3343003503953686,0.5916940324294605,0.4027777777777778,item_cf,20000
0.3408103883291338,0.6037538749313546,0.3101851851851852,als,20000
0.11329206887205927,0.3010506710900798,5.935185185185185,track2vec,20000
0.32147823682733495,0.5966460153491226,0.3194444444444444,title,20000
0.3230160977732939,0.5424092993405446,0.8796296296296297,taste_engine,20000
0.3553631548719572,0.6431325286577402,0.2337962962962963,hybrid,20000
