r_precision,ndcg,clicks,cand_per_model,knob,reranker,backend,dropped,delta_rprec
0.3632211500649939,0.6313822251452652,0.21445221445221446,100.0,cand_per_model,,,,
0.3560828545627848,0.6450609418691048,0.2097902097902098,200.0,cand_per_model,,,,
0.3590330216012398,0.6435815435356705,0.21678321678321677,400.0,cand_per_model,,,,
0.3554888430166605,0.6239858519633852,0.21445221445221446,800.0,cand_per_model,,,,
0.3150844060202875,0.5906319027446746,0.47086247086247085,,reranker,equal,none,,
0.38627959432455106,0.6370575300529987,0.1888111888111888,,reranker,logreg,logreg,,
0.3590330216012398,0.6435815435356705,0.21678321678321677,,reranker,lightgbm,lightgbm,,
0.3590330216012398,0.6435815435356705,0.21678321678321677,,feature_ablation,,,(none),0.0
0.36000825920690366,0.6418487547788079,0.2331002331002331,,feature_ablation,,,cf,0.0009752376056638701
0.3535320646126945,0.6444770948548953,0.22144522144522144,,feature_ablation,,,als,-0.0055009569885453025
0.350541493217021,0.6422463986090349,0.22377622377622378,,feature_ablation,,,w2v,-0.008491528384218794
0.34691061297175063,0.6405405082000442,0.17016317016317017,,feature_ablation,,,title,-0.012122408629489156
0.3476780195374047,0.6351925323473563,0.3076923076923077,,feature_ablation,,,pop,-0.011355002063835107
0.3536255936523984,0.6376705882695822,0.2191142191142191,,feature_ablation,,,artist_overlap,-0.0054074279488414145
