r_precision,ndcg,clicks,model,seed
0.15662236974580546,0.42906902363471155,0.31934731934731936,popularity,1
0.3371275331930372,0.5913073292574831,0.42657342657342656,item_cf,1
0.33621085675420087,0.588671839874229,0.38461538461538464,als,1
0.1792529427297585,0.3871722591387321,2.331002331002331,track2vec,1
0.32001941536799655,0.5929554307304975,0.3706293706293706,title,1
0.3231712708271856,0.5462625925642955,0.6107226107226107,taste_engine,1
0.34882904022045036,0.6207411875037933,0.2331002331002331,hybrid,1
0.16161141650742597,0.4352149468663443,0.24545454545454545,popularity,2
0.35174484860762056,0.6049633321646297,0.3613636363636364,item_cf,2
0.35518267295705797,0.6132522691741458,0.29772727272727273,als,2
0.19317337687334477,0.4057894940730123,2.577272727272727,track2vec,2
0.3254366662013877,0.5961839391969858,0.29545454545454547,title,2
0.3385293285428125,0.5596713334650778,0.8613636363636363,taste_engine,2
0.35615422439229766,0.644980393351166,0.10227272727272728,hybrid,2
0.1670725277100147,0.44501022702625664,0.23569794050343248,popularity,3
0.34814746020942533,0.6071984737848726,0.2219679633867277,item_cf,3
0.34931675163543935,0.6125381713240479,0.09839816933638444,als,3
0.18884114644783226,0.40221529067403294,2.4096109839816933,track2vec,3
0.33011637916708486,0.6082500527976475,0.11212814645308924,title,3
0.32751582527381695,0.5518541032010684,0.5881006864988558,taste_engine,3
0.3670634055213643,0.6598655642793451,0.09839816933638444,hybrid,3
